code,name
陽明,2609
神州-DR,910861
立德,3058
元晶,6443
麗嬰房,2911
方土昶,6265
志信,2611
華鎂鑫,8087
寶碩,5210
正德,2641
華義,3086
天蔥,2740
聯合再生能源,3576
百一,6152
海光,2038
東和,1414
志旭,8067
富邦上証+R,00625K
群益臺灣加權反1,00686R
力鵬,1447
錸德,2349
統懋,2434
愛之味,1217
國泰中國A50+U,00636K
大宇,1445
佶優,5452
東貝,2499
華興,6164
松普,5488
華容,5328
中福,1435
志嘉,5529
聯發,1459
和桐,1714
官田鋼,2017
彩晶,6116
宏遠證,6015
京晨科,6419
大魯閣,1432
亞矽,6113
全譜,6228
冠軍,1806
全友,2305
富邦臺灣加權反1,00676R
今皓,3011
勝昱,4304
誠美材,4960
元勝,4419
喬鼎,3057
,
立衛,5344
清惠,5259
力銘,3593
富裔,6264
富邦上証反1,00634R
大飲,1213
新建,2516
翔耀,2438
再生-KY,1337
頂晶科,3562
燦星旅,2719
福大,4402
保銳,8093
東華,1418
錦明,3230
聯德,3308
世紀,5314
富邦特選蘋果N,020000
太極,4934
太欣,5302
聚亨,2022
凱柏實業,3073
中視,9928
本盟,1475
達能,3686
佳總,5355
億泰,1616
晶宇,4131
天揚,5345
通訊-KY,6404
誠研,3494
正峰新,1538
燁興,2007
英格爾,8287
福華,8085
泰谷,3339
新世紀,3383
環瑞醫,4198
愛地雅,8933
瑞利,1512
友佳-DR,912398
虹光,2380
中美實,4702
尚茂,8291
富邦VIX,00677U
誠創,3536
華冠,8101
精熙-DR,9188
德宏,5475
悠克,6131
,
新利虹,2443
群益深証中小+R,00643K
力特,3051
泰金寶-DR,9105
合正,5381
鼎創達,5304
奧斯特,8080
科風,3043
倫飛,2364
及成,3095
首利,1471
新零售,3085
益通,3452
百徽,6259
晨訊科-DR,912000
天瀚,6225
恩得利,1333
越南控-DR,9110
劍湖山,5701
元隆,6287
東訊,2321
美德醫療-DR,9103
同方友友-DR,911868
華上,6289
明輝-DR,911608
杜康-DR,911616
陽光能源-DR,9157
聖馬丁-DR,910482
耀傑-DR,911619
