code,name
東科-KY,5225
健信,4502
友華,4120
華立,3010
佰研,3205
申豐,6582
台新戊特,2887E
融程電,3416
惠普,8424
TPK-KY,3673
聯邦甲特,2838A
元大期,6023
遠雄來,2712
威宏-KY,8442
茂生農經,1240
江申,1525
程泰,1583
和進,3191
豐興,2015
佳醫,4104
國碳科,4754
動力-KY,6591
錸寶,8104
智原,3035
亞泰,4974
海悅,2348
互盛電,2433
天正國際,6654
建榮,5340
敦陽科,2480
威強電,3022
聯鈞,3450
時碩工業,4566
日電貿,3090
景碩,3189
欣泰,8917
德律,3030
雲品,2748
三星,5007
威剛,3260
富邦台50,006208
鉅邁,8435
jpp-KY,5284
技嘉,2376
晶達,4995
,
南僑,1702
江興鍛,4528
中聯資源,9930
聯廣,8497
強信-KY,4560
鑽全,1527
泰金-KY,6629
業強,6124
上海商銀,5876
維熹,3501
祺驊,1593
鎧勝-KY,5264
威潤,6465
台半,5425
曜亞,4138
光寶科,2301
山林水,8473
南電,8046
元大台灣50正2,00631L
氣立,4555
華通,2313
富邦發達,0058
富邦金融,0059
嘉晶,3016
波若威,3163
利勤,4426
禾瑞亞,3556
泰福-KY,6541
必應,6625
世禾,3551
豪展,4735
台肥,1722
南港,2101
FH富時高息低波,00731
欣雄,8908
凱美,5317
全球,4540
新鼎,5209
櫻花,9911
勝品,6556
慶生,6210
茂訊,3213
興富發,2542
新唐,4919
凌華,6166
神基,3005
亞泥,1102
潤泰新,9945
百德,4563
宇智,6470
,
達邁,3645
東隆興,4401
光隆,8916
元翎,4564
健和興,3003
富邦上証正2,00633L
大田,8924
昭輝,1339
先進光,3362
新光投等債15+,00775B
聯合,4129
慶豐富,9935
台虹,8039
益張,8342
廣積,8050
東哥遊艇,8478
大毅,2478
超豐,2441
尼克森,3317
台名,5878
三福化,4755
富邦金,2881
東陽,1319
士電,1503
大綜,3147
高力,8996
關中,8941
金居,8358
南光,1752
正崴,2392
晶技,3042
欣興,3037
訊聯,1784
均華,6640
理銘,6212
達新,1315
福興,9924
潤泰材,8463
國泰臺灣加權正2,00663L
萬年清,6624
嘉彰,4942
台耀,4746
合富-KY,4745
泰鼎-KY,4927
晉泰,6221
鎰勝,6115
元大MSCI台灣,006203
鴻碩,3092
群益期,6024
台生材,6649
文曄,3036
矽瑪,3511
德微,3675
承業醫,4164
新紡,1419
立隆電,2472
,
世豐,2065
永信,3705
全國,9937
長園科,8038
鑫禾,4999
瀚宇博,5469
宜特,3289
建準,2421
久元,6261
國泰金,2882
台泥,1101
六暉-KY,2115
敦吉,2459
高技,5439
新海,9926
正新,2105
聯陽,3014
嘉威,3557
中菲,5403
百和興業-KY,8404
明安,8938
上奇,6123
全宇生技-KY,4148
大成,1210
聯華食,1231
萬潤,6187
立康,6242
振曜,6143
金麗科,3228
廣明,6188
創業家,8477
智寶,2375
邑錡,7402
友銓,5321
安力-KY,5223
達方,8163
順藥,6535
岱宇,1598
歐買尬,3687
科定,6655
樂斯科,6662
聿新科,4161
國泰US短期公債,00865B
特昇-KY,6616
,
富邦NASDAQ正2,00670L
綠悅-KY,1262
大豐電,6184
元大電子,0053
元大S&P500正2,00647L
馬光-KY,4139
中光電,5371
奇鋐,3017
強生,4747
維田,6570
新光中國政金綠債,00774B
中華,2204
新產,2850
榮昌,3684
寶成,9904
德勝,8048
台興,3426
唐榮,2035
盟立,2464
天鈺,4961
鉅明,8928
基勝-KY,8427
廣錠,6441
明基醫,4116
嘉里大榮,2608
皇翔,2545
科懋,6496
國泰RMB短期報酬,00732
大量,3167
幸康,3332
佳邦,6284
敦南,5305
德英,4911
遠雄,5522
錩泰,1541
川寶,1595
天仁,1233
鳳凰,5706
海韻電,6203
宏佳騰,1599
國泰日本正2,00658L
中連貨,5604
力達-KY,4552
大聯大,3702
中探針,6217
藍天,2362
華祺,5015
中鼎,9933
安馳,3528
捷迅,2643
,
世坤,4305
新保,9925
興采,4433
世鎧,2063
詩肯,6195
伍豐,8076
聯強,2347
根基,2546
鈺邦,6449
志超,8213
亞信,3169
楠梓電,2316
車王電,1533
衡平,8934
光聖,6442
關貿,6183
通泰,5487
千附,8383
宇瞻,8271
新盛力,4931
欣高,9931
華友聯,1436
新巨,2420
京元電子,2449
霹靂,8450
台灣高鐵,2633
寬魚國際,6101
精元,2387
大洋,1321
乙盛-KY,5243
福懋油,1225
三能-KY,6671
富致,6642
金山電,8042
聯華,1229
中化生,1762
宏達電,2498
金洲,4417
亞弘電,6201
晟楠,3631
泓格,3577
嘉聯益,6153
凱撒衛,1817
久威,6114
矽格,6257
宏和,1446
志豐,3206
聚碩,6112
南茂,8150
長華科,6548
元大中型100,0051
,
上詮,3363
豐藝,6189
三聯,5493
億光,2393
佳必琪,6197
福懋科,8131
營邦,3693
旺宏,2337
凌通,4952
九齊,6494
裕民,2606
迅德,6292
漢平,2488
永裕,1323
欣天然,9918
生達,1720
光環,3234
佳穎,3310
福懋,1434
盈正,3628
事欣科,4916
鈦昇,8027
創惟,6104
東碩,3272
祥業,3465
中宇,1535
紅馬-KY,2928
耀億,4430
同亨,5490
凌網,5212
訊映,4155
永信建,5508
